customer_id,first_name,last_name,date_of_birth,gender,contact_number,email,address,aadhaar_number,pan_number
1,Navya,Bhalla,1950-07-04,Other,4332181960,chopramehul@ramachandran.com,"94, Sibal Nagar, Bhusawal-423511",6155940781,ONxKm6184
2,Renee,Banerjee,1951-12-03,Male,3413164752,lakshay41@hotmail.com,"764, Choudhary Circle
Pimpri-Chinchwad-056413",9537672423,BLzxo8849
3,Hiran,Kumar,1982-05-22,Male,+910122691669,ishita01@hotmail.com,"H.No. 462
Agarwal Chowk, Orai 814893",2528809570,dpKff1543
4,Sana,Kibe,2004-05-02,Other,+918227824896,riyadugal@sampath-sachar.com,"H.No. 331
Anne Path, Giridih-010310",5183473829,ZAmgg9737
5,Nirvi,Kale,1972-11-30,Female,06701065133,bboase@dewan.com,"10/80
Shetty Zila
Rourkela 773602",6064746872,LVIdV3430
6,Saksham,Balakrishnan,1952-03-20,Male,7882081219,yuvaanbhasin@dasgupta.com,"99/854
Sami Ganj
Mathura 624751",0799118384,xskCI2513
7,Renee,Dora,1990-06-06,Male,8084124118,raunak93@garg.com,"H.No. 164
Agarwal Nagar, Bikaner-278680",1128059826,YcwnR2045
8,Nishith,Sama,1955-10-19,Male,08692322602,qsuresh@hotmail.com,"160
Choudhry Chowk
Jaunpur-433036",5414586850,qcgMB1429
9,Shray,Sethi,2002-04-27,Other,06981693406,tejaskale@salvi.org,"48/465, Sarin Marg, Begusarai 366299",4680443699,RnGEY5777
10,Yashvi,Shah,1960-05-08,Male,1489513433,bajajnirvaan@ramaswamy-varghese.com,"93/676
Borah Ganj, Aligarh-328708",3172788957,CkVEC9868
11,Pranay,Sheth,1965-08-18,Other,4873471434,hrishita12@gmail.com,"23/166
Madan Path
Vijayanagaram-366909",6705466889,BFbyv3734
12,Oorja,Sane,2003-02-12,Other,02729806990,dbir@bakshi.biz,"55, Dewan Marg, Nizamabad 708053",1003309232,DSqXx7193
13,Ivan,Raman,1990-02-16,Other,1241904966,rajagopalanprisha@dara.com,"H.No. 86, Banerjee Path
Ahmedabad 716572",6284987769,rCpWD4531
14,Jiya,Ramaswamy,1994-04-10,Male,05075273545,ivana08@gmail.com,"67/837, Kapur Chowk
Tiruchirappalli 363495",7885685574,UmuhV4431
15,Heer,Singh,1995-10-09,Other,+913374989413,taranchakraborty@yahoo.com,"H.No. 00, Dhingra Circle
Pallavaram 094777",5204711671,ZKtfp9022
